,nome_fantasia,cnpj_basico,cnpj_ordem,cnpj_dv,cnae_princ,cnaes_sec,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200
68304,CARBONI MAQUINAS AGRICOLAS LTDA,10331054,13,27,4789099,"4530703,4732600,3314711,3314712,4512901,4930201",SC,8291,Parceiros,0,0,0,1,1,0
68316,SIMAPAR,9602690,1,23,4789099,"3314711,4930202",RS,8705,Parceiros,0,0,0,1,0,0
68625,ENGEMEC -ENGENHARIA DE MANUTENCAO E COMERCIO DE PECAS,31255374,1,81,4530703,"2833000,3314711,3314717,4520001,4614100,4662100,4663000,4732600,7020400,8599604",MA,803,Parceiros,0,0,0,1,0,0
68663,MONT RIO EQUIPAMENTOS AGRICOLAS,32137881,1,83,4530703,"3314711,4923002,7711000,7739099",GO,9571,Parceiros,0,0,0,1,0,0
69158,,11492141,10,86,4530701,"3314710,3314711,3314712,3329599,4520001,4530702,4618499,4663000,7490104,7739099",RS,8777,Parceiros,0,0,0,1,1,0
83297,REGIONAL,3341345,1,5,4661300,"3314711,3314712,4614100,4789099",MG,4961,Parceiros,1,0,0,1,1,0
84669,,108578,5,90,4661300,"3314712,4511101,4511102,4511103,4512901,4520001,4530703,4530704,4530706,7490104",MT,9929,Parceiros,1,0,1,0,1,0
84707,YPIRANGA AGRICOLA,5434438,1,0,4661300,"4530703,4520001,4530706,4614100",GO,9571,Parceiros,1,0,0,0,0,0
85361,MS EQUIPAMENTOS,2667683,5,94,4661300,"3314712,4511101,7731400,4511104,4511106,4512901,4512902,4520001,4520002,4520003,4520004,4530701,4530703,4672900,7711000,7719599,7739099,4744001,4511103",MS,9157,Parceiros,1,0,0,0,1,0
85362,MS EQUIPAMENTOS,2667683,3,22,4661300,"3314712,4511101,7731400,4511104,4511106,4512901,4512902,4520001,4520002,4520003,4520004,4530701,4530703,4672900,4744001,7711000,7719599,7739099,4511103",MS,9757,Parceiros,1,0,0,0,1,0
86357,AGRICOLA ANDREIS,2507962,1,67,4683400,"5211799,0141501,4612500,4661300,4789004,7500100,4930202,0161001,0161003",PR,7523,Parceiros,1,1,0,0,0,0
87533,AGUIA REPR. COMERCIAIS MAQUINAS IMP. PECAS E IRRAGACAO,1140699,1,58,4661300,"3314711,3321000,4321500,4614100,4732600,4930202,6810202",MT,9907,Parceiros,1,0,0,1,0,0
87731,LUNARDI MAQUINAS AGRICOLAS,6220003,1,17,4661300,3314711,PR,7523,Parceiros,1,0,0,1,0,0
87774,COOPERCITRUS,45236791,50,70,4683400,"0161001,0161003,0161099,3313901,3314711,3321000,4321500,4520001,4530703,4530705,4614100,4623109,4644302,4649499,4661300,4673700,4742300,4744001,4753900,4755503,4759899,4763602,4763604,4781400,4782201,4789004,4789005,4789099,5211701,5211799,7112000,7119701,7119702,7120100,7490103,7490104,7500100,7731400,8230001,8599604",SP,6163,Parceiros,1,1,0,1,0,0
87865,RICAMAQ,6246070,1,0,4661300,4520001,MG,4069,Parceiros,1,0,0,0,0,0
88219,,53309852,11,1,4661300,"3314711,3314712,4732600,4530705,4512901,4530703,4520001",SP,6209,Parceiros,1,0,0,1,1,0
88613,,1335050,1,92,4661300,6202300,PR,7777,Parceiros,1,0,0,0,0,0
88657,,76106301,1,66,4683400,,PR,7495,Parceiros,0,1,0,0,0,0
89104,EQUAGRIL,77310589,1,59,4661300,"3314712,4520001,4530701,4619200,4662100,4665600,4669999,4732600,4763605,7731400,7732201",SP,7107,Parceiros,1,0,0,0,1,1
89308,,76106301,2,47,4683400,,SP,6549,Parceiros,0,1,0,0,0,0
89514,NAVIRAI TRATORES,79690152,5,47,4661300,4520001,MS,9113,Parceiros,1,0,0,0,0,0
